ID,Initial,Adjusted
EX_ac_e,6.82701917999702,6.709625576782836
ACt2rpp,-6.82701917999702,-6.713008826782835
ACKr,-6.82701917999702,-5.885380211936525
PTAr,6.82701917999702,5.885380211936525
ACS,0.0,0.0
EX_fru_e,0.0,0.0
FRUpts2pp,0.0,0.0
FRUK,0.0,0.0
EX_gal_e,0.0,0.0
GALabcpp,0.0,0.0
GALKr,0.0,0.0
UGLT,0.0,0.0
PGMT,0.0,0.0
EX_glc__D_e,-9.654,-9.654
GLCt2pp,9.654,9.65118097285959
EX_glyc_e,0.0,0.0
GLYCtpp,0.0,0.0
GLYCK,0.0,0.0
G3PD5,0.0,0.0
EX_glcn_e,0.0,0.0
GLCNt2rpp,0.0,0.0
GNK,0.0,0.0
EX_pyr_e,0.0,0.0
PYRt2rpp,0.0,0.0
EX_succ_e,0.0,0.03924137330598815
EX_fum_e,9.653732320004383e-08,0.05051757840495286
EX_lac__D_e,0.0,0.0
D_LACt2pp,0.0,0.0
LDH_D,0.0,0.0
PGI,5.699970323068908,-3.9037903859471834
PFK,7.058477001281019,7.753048592847479
FBP,0.0,0.7058477001281018
FBA,7.058477001280537,7.047200892719378
TPI,7.058477001279999,7.058477001279999
GAPD,15.7103918012915,15.647586101052156
PGK,-15.7103918012915,-15.647586101052156
PGM,-14.5577042012894,-14.566664051052157
ENO,14.5577042012894,14.566664051052157
PYK,2.4873080978377,2.73603890762147
PPS,0.0,0.2374547012221282
PDH,11.29846426880824,11.298464268808239
EDD,1.0869910596271795,1.086527807867402
EDA,1.0869910596271795,1.086527807867402
G6PDH2r,3.919275276928566,3.9066094130875926
PGL,3.919275276928566,3.9066094130875926
GND,2.8322842173013867,2.8200816052201905
RPI,-1.42743833909665,-1.4883080910804343
RPE,1.4048458782047375,1.3059009141397566
TKT1,0.8202017391036417,0.7768866070698784
TALA,-0.820201739103642,0.0
TKT2,0.5846441391010958,0.5290143070698783
PPC,2.453331329249887,2.4981991490967093
PPCK,0.540874025794242,0.4847300973857781
CS,2.9779712878442943,2.966695179282653
ACONTa,2.9779712878442943,2.520870714436341
ACONTb,2.9779712878442943,2.520870714436341
ICDHyr,2.977971286877574,2.520870714436341
AKGDH,2.1380732868771095,1.8219959144363411
SUCOAS,-2.13807328687711,-1.4807732144363412
SUCDi,2.13807328784816,2.13807328784816
FUM,2.13807328784816,2.4100517627254137
MDH,1.069036692194755,1.077493773615986
MDH2,1.069036692194755,1.0690366921947545
ME1,-4.778621233130435e-08,0.0
ME2,-4.778621233130435e-08,0.0
ICL,9.654038383555274e-10,0.0
MALS,9.654038383555274e-10,0.00043485000000009766
BIOMASS_Ec_iML1515_core_75p37M,0.65,0.65
