ID,Initial,Adjusted
13dpg_c,5.50754483396352e-05,5.507544833963519e-05
2pg_c,0.0007248329026935662,0.00013127099081571087
3pg_c,0.00013806341003686973,0.0007623382868594861
6pgc_c,0.0003020156524224967,0.0010408859421030493
ac_c,0.00066,34890.1164236748
accoa_c,0.000606,0.061239135375928004
acon_C_c,1.61e-05,1.8934659206242776e-05
actp_c,0.00107,0.49843830741262657
adp_c,0.0006555725586041198,0.0017559100629837947
akg_c,0.000690634265065141,0.00014947290054774572
amp_c,0.0005228629099767757,0.0005228629099767757
atp_c,0.0037398526587453596,0.001396281522602528
cit_c,0.0007621037666079176,0.0011884234249576377
co2_c,1.309e-05,1576.9617169472906
coa_c,0.00137,1.5527285802660396e-05
dhap_c,0.0014315703569008238,0.0040275786763128004
e4p_c,2.8881891567152337e-05,2.8881891567152324e-05
f6p_c,0.0003642844619664639,0.0003346820494132951
fdp_c,0.0012588103031642814,0.0022719758095301754
for_c,0.00018,0.0001800000000000001
fum_c,0.0005944512381418125,0.0001931465540768261
g1p_c,0.000413,0.00020628089005628387
g3p_c,8.007000000000001e-05,3.844954326127119e-05
g6p_c,0.001029161351569358,0.0022427597397947966
glyc3p_c,0.00011642402676861361,2.2928089389865872e-05
hco3_c,0.0001754691689008043,0.00017546916890080443
icit_c,8.848716892347097e-06,2.1750873627024736e-05
mal__L_c,0.0018273927374631248,0.0005400998646430662
nad_c,0.002290893227841481,0.05425077760211174
nadh_c,2.972583376349174e-05,1.2552577911449938e-06
nadp_c,1.2239632372908316e-05,0.003681229909099984
nadph_c,0.0001234910009170156,4.1059224495877704e-07
o2_c,0.00044,0.1349083273206684
oaa_c,3e-05,0.0007611423517111335
pep_c,0.00038292386347830114,1.714435837052253e-06
pi_c,0.01,0.012842366575737422
ppi_c,0.0005,0.0005000000000000001
pyr_c,0.0015235884994357321,0.00011860564523667403
q8_c,0.000231,1.1568044478419745e-06
q8h2_c,9.9e-05,0.01976911486004581
r5p_c,0.0002496337592750438,0.0002620397291855093
ru5p__D_c,0.0007142797390168871,0.0003756579736988883
s7p_c,0.003899436487474449,0.003379610275818615
succ_c,0.001285231377310884,0.00011931403456275955
succoa_c,0.000233,0.0002034344574829788
xu5p__D_c,0.000644731767423963,0.0004511154807253632
